temp_eau,temp_air,humidite,ph,luminosite,ir,temp_delta,heat_index,ph_deviation,clarity_score,uv_index_est,algae_risk,health_score,status,needs_maintenance
36.01,28.66,37.73,7.71,160.03,0.061,7.35,29.54,0.308,0.939,1.72,41.92,68.18,Danger,1
32.42,40.62,80.88,8.57,777.55,0.703,-8.21,56.89,1.172,0.297,8.36,94.84,41.64,Danger,1
31.77,18.61,33.81,6.47,842.23,0.744,13.16,17.0,0.931,0.256,9.06,71.19,52.96,Danger,1
39.54,41.8,38.64,8.64,857.93,0.871,-2.26,48.1,1.235,0.129,9.23,100.0,13.83,Danger,1
20.57,42.71,41.3,7.11,466.47,0.124,-22.14,50.27,0.294,0.876,5.02,15.01,73.24,Normal,0
39.87,41.3,89.3,6.85,225.16,0.426,-1.43,60.49,0.546,0.574,2.42,79.14,40.96,Danger,1
18.12,38.38,94.78,7.59,397.19,0.393,-20.25,55.44,0.186,0.607,4.27,36.64,63.5,Normal,0
23.86,30.06,58.07,7.64,868.59,0.225,-6.21,34.2,0.235,0.775,9.34,27.69,76.5,Normal,0
18.84,19.03,67.08,8.42,907.2,0.635,-0.18,19.88,1.025,0.365,9.75,60.53,36.51,Warning,1
21.4,27.04,51.61,8.61,497.91,0.226,-5.64,29.11,1.21,0.774,5.35,40.01,50.99,Danger,1
21.0,42.56,33.27,6.04,187.2,0.811,-21.56,47.79,1.361,0.189,2.01,36.46,33.23,Danger,1
31.77,25.73,34.46,8.57,196.31,0.033,6.04,25.48,1.168,0.967,2.11,48.06,73.7,Danger,1
19.83,17.87,82.02,7.47,247.06,0.349,1.96,19.4,0.075,0.651,2.66,25.27,69.56,Normal,0
19.46,18.49,70.06,7.82,994.83,0.375,0.97,19.4,0.421,0.625,10.7,36.93,56.14,Normal,0
29.83,34.15,39.07,7.66,202.32,0.845,-4.32,37.04,0.259,0.155,2.18,55.62,63.38,Danger,1
27.45,44.0,93.69,6.39,376.17,0.6,-16.55,68.02,1.012,0.4,4.04,54.3,52.46,Danger,1
26.42,22.84,91.88,7.23,780.21,0.387,3.58,27.25,0.165,0.613,8.39,50.44,72.52,Normal,0
36.99,15.01,33.64,7.09,702.7,0.342,21.98,12.9,0.307,0.658,7.56,67.75,54.38,Danger,1
24.99,22.35,30.35,7.6,119.33,0.287,2.64,21.05,0.204,0.713,1.28,17.04,78.4,Normal,0
33.95,22.9,51.4,6.74,978.9,0.191,11.05,23.63,0.659,0.809,10.53,58.53,65.89,Danger,1
27.79,20.68,40.19,6.29,654.9,0.612,7.11,19.9,1.112,0.388,7.04,49.94,55.22,Danger,1
35.01,24.79,89.7,8.2,823.22,0.721,10.22,30.02,0.8,0.279,8.85,99.42,33.19,Danger,1
24.23,27.68,36.31,7.35,44.13,0.004,-3.45,28.11,0.046,0.996,0.47,1.79,88.68,Normal,0
33.17,31.86,52.17,7.71,912.08,0.652,1.31,35.95,0.312,0.348,9.81,73.21,52.49,Warning,1
28.12,25.37,75.41,8.94,434.53,0.392,2.75,29.41,1.543,0.608,4.67,68.68,49.42,Danger,1
27.36,44.72,75.94,7.08,380.05,0.431,-17.36,64.28,0.322,0.569,4.09,38.46,72.37,Warning,0
29.61,39.34,72.94,6.6,744.78,0.719,-9.73,52.41,0.805,0.281,8.01,63.1,53.54,Danger,1
31.7,33.33,84.59,6.41,199.32,0.486,-1.63,43.58,0.992,0.514,2.14,54.13,62.21,Danger,1
27.14,38.65,39.67,7.38,1012.53,0.506,-11.5,43.59,0.02,0.494,10.89,51.44,74.45,Warning,1
21.24,35.32,55.72,6.87,32.11,0.846,-14.08,41.81,0.53,0.154,0.35,34.53,46.7,Danger,1
34.5,26.46,68.91,6.74,158.97,0.533,8.04,30.29,0.657,0.467,1.71,56.25,57.55,Danger,1
22.3,28.09,58.9,6.65,578.05,0.146,-5.79,31.45,0.752,0.854,6.22,18.27,69.53,Danger,1
20.5,29.57,50.25,7.36,443.73,0.908,-9.07,32.41,0.043,0.092,4.77,45.86,41.32,Danger,1
36.01,21.77,52.89,6.23,430.42,0.669,14.24,22.31,1.175,0.331,4.63,72.03,41.33,Danger,1
30.45,34.2,41.52,6.11,809.9,0.167,-3.75,37.55,1.288,0.833,8.71,43.45,70.02,Danger,1
38.63,43.91,70.06,7.14,852.4,0.205,-5.28,60.75,0.264,0.795,9.17,70.43,54.25,Danger,1
25.85,42.38,89.79,7.95,113.29,0.482,-16.53,63.06,0.553,0.518,1.22,41.0,62.59,Warning,0
37.47,19.15,33.53,8.11,463.71,0.838,18.32,17.6,0.713,0.162,4.99,91.74,25.46,Danger,1
35.62,16.12,31.82,7.38,226.38,0.594,19.5,14.04,0.016,0.406,2.43,63.49,57.59,Danger,1
18.78,36.81,43.66,7.97,767.17,0.059,-18.04,41.73,0.569,0.941,8.25,23.1,65.99,Warning,0
23.91,26.69,35.63,8.52,573.63,0.505,-2.78,26.79,1.116,0.495,6.17,50.42,46.67,Danger,1
25.36,41.72,76.78,8.79,928.68,0.991,-16.36,58.11,1.386,0.009,9.99,91.72,25.73,Danger,1
35.51,39.13,71.88,6.84,987.35,0.204,-3.62,51.77,0.563,0.796,10.62,64.89,59.98,Danger,1
33.9,17.67,75.05,8.55,357.43,0.709,16.23,18.66,1.146,0.291,3.84,86.92,37.39,Danger,1
36.61,43.56,39.93,8.08,517.47,0.531,-6.95,51.23,0.676,0.469,5.56,77.11,49.51,Danger,1
28.75,33.01,45.01,7.14,885.14,0.11,-4.26,36.46,0.264,0.89,9.52,37.69,79.66,Normal,0
22.05,40.4,67.64,7.21,255.57,0.437,-18.34,53.14,0.191,0.563,2.75,22.97,65.24,Warning,0
29.2,29.08,78.51,7.14,437.25,0.337,0.12,35.48,0.263,0.663,4.7,42.74,76.26,Normal,0
33.7,41.19,88.86,8.64,462.17,0.284,-7.49,60.14,1.242,0.716,4.97,80.91,51.03,Danger,1
39.0,36.81,62.17,8.07,790.31,0.919,2.19,45.5,0.666,0.081,8.5,100.0,21.0,Danger,1
27.53,23.21,62.49,6.98,964.45,0.508,4.32,25.06,0.415,0.492,10.37,51.65,71.73,Warning,1
25.66,34.18,63.8,6.39,889.2,0.359,-8.52,41.45,1.013,0.641,9.56,38.46,59.34,Danger,1
22.52,31.6,75.63,8.64,52.79,0.973,-9.08,39.16,1.243,0.027,0.57,63.97,31.38,Danger,1
24.25,21.13,49.25,8.63,298.09,0.463,3.12,21.2,1.227,0.537,3.21,46.37,48.86,Danger,1
37.18,34.76,78.95,6.52,897.59,0.276,2.43,45.16,0.88,0.724,9.65,74.36,48.01,Danger,1
39.48,21.05,38.88,7.88,326.2,0.133,18.43,20.24,0.478,0.867,3.51,60.73,59.67,Danger,1
34.7,38.8,40.11,7.67,832.39,0.161,-4.1,43.91,0.271,0.839,8.95,56.44,75.14,Warning,1
18.05,30.74,42.65,8.17,984.34,0.209,-12.69,32.95,0.773,0.791,10.58,38.84,53.0,Warning,1
22.66,15.54,79.31,7.3,968.56,0.534,7.12,16.15,0.098,0.466,10.41,46.85,63.11,Warning,1
27.9,21.09,87.07,8.07,349.09,0.528,6.81,24.25,0.673,0.472,3.75,55.66,64.16,Warning,1
35.22,17.4,31.46,6.34,404.08,0.467,17.82,15.46,1.057,0.533,4.34,61.03,48.04,Danger,1
27.05,28.25,37.09,8.75,612.93,0.389,-1.2,28.93,1.35,0.611,6.59,61.61,53.51,Danger,1
24.91,40.63,67.38,7.48,931.84,0.838,-15.72,53.52,0.085,0.162,10.02,56.3,58.02,Danger,1
22.96,19.59,74.86,7.41,699.44,0.761,3.37,21.21,0.006,0.239,7.52,47.89,54.87,Warning,1
24.26,29.72,47.78,8.0,763.91,0.472,-5.46,32.29,0.602,0.528,8.21,41.14,57.35,Warning,1
29.23,36.39,44.62,8.22,731.57,0.267,-7.16,41.29,0.817,0.733,7.87,52.5,66.02,Warning,1
36.82,22.49,77.84,8.86,886.17,0.402,14.33,25.46,1.462,0.598,9.53,100.0,35.37,Danger,1
39.82,32.05,37.48,6.14,808.49,0.424,7.77,33.93,1.264,0.576,8.69,81.79,33.8,Danger,1
25.65,37.72,60.24,8.61,751.83,0.974,-12.07,46.64,1.205,0.026,8.08,80.21,31.19,Danger,1
23.6,34.77,31.34,8.97,267.01,0.665,-11.17,36.49,1.573,0.335,2.87,61.67,38.37,Danger,1
21.53,40.44,30.8,7.33,482.89,0.374,-18.91,44.08,0.074,0.626,5.19,25.35,64.15,Normal,0
38.13,24.81,67.65,8.63,790.77,0.041,13.32,27.78,1.232,0.959,8.5,81.82,47.41,Danger,1
19.03,32.66,67.4,8.36,151.86,0.179,-13.64,39.6,0.959,0.821,1.63,24.42,57.43,Warning,1
21.29,29.08,77.56,7.95,215.45,0.304,-7.79,35.35,0.554,0.696,2.32,24.41,66.69,Warning,0
27.87,16.33,44.27,7.03,1022.48,0.303,11.54,15.04,0.373,0.697,10.99,45.71,75.15,Normal,0
29.28,17.51,47.81,8.98,720.85,0.051,11.78,16.66,1.577,0.949,7.75,62.81,67.09,Danger,1
21.78,18.69,68.16,7.52,759.95,0.892,3.09,19.52,0.117,0.108,8.17,52.04,43.3,Danger,1
38.31,30.54,46.82,8.54,36.35,0.56,7.77,33.28,1.137,0.44,0.39,84.51,26.82,Danger,1
24.16,40.9,45.62,8.52,80.35,0.16,-16.75,48.51,1.12,0.84,0.86,26.59,65.2,Danger,1
36.79,19.34,86.9,6.69,462.92,0.353,17.45,21.76,0.711,0.647,4.98,70.88,46.41,Danger,1
38.77,28.15,74.87,7.73,513.26,0.617,10.63,33.53,0.326,0.383,5.52,82.46,39.26,Danger,1
33.38,30.97,71.94,7.82,443.08,0.625,2.41,37.59,0.419,0.375,4.76,64.12,60.7,Warning,1
34.67,44.07,92.39,8.46,615.6,0.749,-9.4,67.79,1.062,0.251,6.62,100.0,33.16,Warning,1
28.54,22.72,30.23,8.9,883.72,0.514,5.82,21.47,1.5,0.486,9.5,80.67,45.8,Danger,1
33.25,28.04,82.22,9.0,357.11,0.244,5.2,34.29,1.599,0.756,3.84,81.27,47.91,Danger,1
20.05,26.82,31.13,6.34,277.94,0.16,-6.77,26.43,1.057,0.84,2.99,12.37,63.69,Danger,1
20.32,40.98,44.37,6.33,10.34,0.715,-20.66,48.31,1.074,0.285,0.11,28.83,41.04,Danger,1
29.21,18.35,94.04,6.38,421.4,0.852,10.86,20.88,1.024,0.148,4.53,70.78,47.34,Danger,1
23.87,39.25,47.77,6.01,437.76,0.013,-15.38,46.38,1.391,0.987,4.71,9.92,69.31,Danger,1
32.12,32.49,43.1,8.1,692.83,0.06,-0.37,35.42,0.7,0.94,7.45,49.17,77.73,Warning,1
30.75,38.77,47.09,6.37,718.61,0.794,-8.03,45.46,1.034,0.206,7.73,67.45,47.93,Danger,1
18.52,39.55,43.4,7.02,642.68,0.1,-21.03,45.82,0.383,0.9,6.91,17.82,67.1,Normal,0
18.57,42.5,50.24,7.98,1011.99,0.669,-23.93,52.39,0.582,0.331,10.88,53.09,40.02,Warning,1
29.46,26.31,68.99,8.88,806.17,0.424,3.15,30.08,1.476,0.576,8.67,77.6,46.32,Danger,1
37.44,19.07,85.22,6.77,732.09,0.806,18.36,21.27,0.635,0.194,7.87,95.92,37.48,Danger,1
22.23,40.34,53.89,6.96,521.75,0.435,-18.11,49.65,0.438,0.565,5.61,28.62,61.44,Warning,1
21.02,28.07,87.96,6.11,467.86,0.661,-7.05,35.05,1.292,0.339,5.03,45.46,37.34,Danger,1
31.06,39.73,44.47,7.06,963.8,0.886,-8.67,46.36,0.342,0.114,10.36,77.36,56.02,Danger,1
28.46,28.53,33.82,8.68,836.97,0.456,-0.07,28.87,1.277,0.544,9.0,71.56,53.97,Danger,1
25.54,18.69,76.92,7.67,239.49,0.623,6.85,20.15,0.27,0.377,2.58,38.16,60.37,Warning,1
20.69,28.75,62.12,6.5,543.81,0.606,-8.06,32.82,0.9,0.394,5.85,35.93,48.47,Danger,1
21.4,40.69,50.24,7.89,641.19,0.839,-19.29,49.32,0.491,0.161,6.89,49.63,35.84,Danger,1
36.49,33.76,59.21,7.18,387.75,0.418,2.74,39.97,0.219,0.582,4.17,62.55,58.36,Danger,1
27.33,26.68,32.25,6.83,769.2,0.578,0.64,26.4,0.575,0.422,8.27,49.64,64.15,Warning,1
29.94,40.62,81.74,6.29,999.48,0.015,-10.68,57.1,1.105,0.985,10.75,45.77,70.1,Danger,1
35.44,24.96,68.91,7.09,62.01,0.008,10.48,28.12,0.314,0.992,0.67,35.98,79.3,Danger,1
20.17,33.33,64.18,7.37,707.84,0.017,-13.16,40.14,0.034,0.983,7.61,15.9,81.39,Normal,0
35.1,42.3,58.49,6.24,817.1,0.885,-7.2,54.31,1.156,0.115,8.79,86.29,30.7,Danger,1
23.35,16.32,68.42,8.73,693.48,0.317,7.03,16.5,1.33,0.683,7.46,50.84,50.65,Danger,1
36.31,29.27,83.28,7.18,356.52,0.583,7.03,36.42,0.224,0.417,3.83,74.55,53.48,Danger,1
39.5,30.49,55.04,7.18,560.54,0.355,9.0,34.39,0.215,0.645,6.03,72.74,45.84,Danger,1
26.37,26.52,70.1,6.18,670.43,0.505,-0.15,30.52,1.217,0.495,7.21,41.79,58.29,Danger,1
33.82,37.75,85.01,7.12,334.56,0.714,-3.92,52.01,0.276,0.286,3.6,72.74,52.29,Warning,1
31.9,31.67,80.23,6.57,568.49,0.158,0.23,39.97,0.83,0.842,6.11,47.36,72.26,Danger,1
32.61,29.79,54.67,8.65,790.6,0.526,2.82,33.33,1.255,0.474,8.5,85.25,48.76,Danger,1
27.34,38.64,40.92,6.86,345.86,0.106,-11.31,43.87,0.543,0.894,3.72,21.68,83.08,Warning,1
22.23,34.03,42.36,6.37,991.38,0.658,-11.8,37.44,1.029,0.342,10.66,47.65,41.23,Danger,1
28.78,16.0,67.33,7.67,15.32,0.861,12.78,16.03,0.275,0.139,0.16,49.11,54.78,Danger,1
34.38,29.82,70.2,6.77,996.15,0.401,4.57,35.51,0.628,0.599,10.71,68.7,56.42,Danger,1
19.23,34.09,93.92,8.69,718.25,0.991,-14.86,46.59,1.287,0.009,7.72,89.21,10.65,Danger,1
25.46,33.04,35.18,6.67,427.14,0.202,-7.57,34.87,0.735,0.798,4.59,21.65,78.84,Danger,1
39.9,26.13,76.1,7.22,142.72,0.337,13.78,30.61,0.177,0.663,1.53,67.31,52.53,Danger,1
25.22,21.45,37.3,6.65,926.59,0.085,3.77,20.59,0.748,0.915,9.96,26.99,77.14,Danger,1
29.63,25.64,63.64,6.13,663.49,0.563,3.99,28.52,1.27,0.437,7.13,53.69,50.96,Danger,1
30.48,28.14,52.76,6.68,511.57,0.026,2.34,30.75,0.721,0.974,5.5,31.48,81.08,Danger,1
32.91,18.26,34.09,7.96,406.92,0.802,14.65,16.62,0.557,0.198,4.38,71.48,47.59,Danger,1
39.05,27.77,47.18,7.83,642.64,0.622,11.29,29.56,0.426,0.378,6.91,84.52,40.24,Danger,1
19.4,21.3,40.04,6.37,947.59,0.014,-1.9,20.64,1.028,0.986,10.19,20.93,68.27,Danger,1
38.84,25.8,64.26,8.09,324.46,0.478,13.04,28.83,0.687,0.522,3.49,77.8,41.3,Danger,1
34.4,39.25,94.18,7.11,764.27,0.603,-4.86,57.19,0.289,0.397,8.22,83.83,51.29,Warning,1
34.28,37.49,87.57,7.05,668.51,0.28,-3.21,52.04,0.352,0.72,7.19,65.21,68.42,Warning,1
34.53,38.73,57.31,7.53,341.53,0.169,-4.2,47.71,0.126,0.831,3.67,45.68,76.13,Warning,1
38.07,24.27,93.36,6.72,739.7,0.574,13.8,29.58,0.676,0.426,7.95,92.74,34.74,Danger,1
32.17,36.2,88.86,7.69,69.41,0.271,-4.04,49.75,0.29,0.729,0.75,46.26,83.07,Warning,0
28.87,31.46,68.78,7.15,791.7,0.724,-2.59,37.88,0.252,0.276,8.51,60.58,65.64,Warning,1
33.74,41.71,68.7,8.9,121.93,0.632,-7.97,55.94,1.501,0.368,1.31,84.64,32.92,Danger,1
28.5,23.65,65.75,7.09,930.03,0.357,4.85,25.97,0.306,0.643,10.0,47.77,73.29,Normal,0
30.68,26.88,36.23,7.69,550.22,0.173,3.8,27.1,0.295,0.827,5.92,38.8,88.39,Normal,0
30.48,38.21,53.5,6.75,973.1,0.561,-7.73,45.99,0.654,0.439,10.46,62.82,60.42,Danger,1
36.06,20.9,81.09,8.12,991.1,0.966,15.15,23.5,0.715,0.034,10.66,100.0,26.96,Danger,1
34.86,24.51,70.9,7.79,55.8,0.005,10.36,27.68,0.393,0.995,0.6,34.44,76.85,Warning,1
20.81,22.73,88.95,7.56,815.22,0.838,-1.91,26.82,0.156,0.162,8.77,60.54,49.21,Danger,1
26.61,40.92,78.23,8.23,922.31,0.599,-14.31,56.82,0.829,0.401,9.92,66.47,52.82,Warning,1
37.58,28.63,82.75,6.16,1.32,0.528,8.95,35.31,1.238,0.472,0.01,68.29,33.61,Danger,1
39.48,15.17,76.68,6.73,989.81,0.382,24.32,15.52,0.67,0.618,10.64,86.34,37.8,Danger,1
18.59,31.6,94.14,8.94,345.03,0.483,-13.01,41.99,1.539,0.517,3.71,67.28,35.82,Danger,1
23.52,33.36,88.48,6.0,234.2,0.21,-9.84,44.3,1.397,0.79,2.52,22.67,65.98,Danger,1
21.65,33.78,36.68,8.22,907.42,0.927,-12.12,36.11,0.816,0.073,9.76,66.97,35.33,Danger,1
22.34,17.56,45.08,8.89,984.48,0.382,4.78,16.54,1.486,0.618,10.59,63.6,45.7,Danger,1
29.22,23.75,93.68,6.66,377.63,0.429,5.47,28.81,0.736,0.571,4.06,52.8,65.52,Danger,1
26.42,40.7,39.12,7.75,415.99,0.171,-14.28,46.55,0.352,0.829,4.47,23.03,82.33,Normal,0
24.01,16.85,54.49,8.43,736.24,0.947,7.16,16.3,1.031,0.053,7.92,69.53,30.09,Danger,1
33.57,34.96,44.11,6.91,542.02,0.797,-1.39,39.1,0.489,0.203,5.83,72.24,46.5,Warning,1
23.01,44.8,37.51,8.87,827.65,0.839,-21.79,52.5,1.468,0.161,8.9,78.05,29.51,Danger,1
22.58,33.98,79.19,8.24,277.81,0.181,-11.4,43.81,0.837,0.819,2.99,28.74,67.48,Warning,1
28.56,32.21,84.4,8.31,691.7,0.263,-3.66,41.57,0.907,0.737,7.44,58.96,62.78,Warning,1
25.38,22.05,30.67,7.02,262.01,0.572,3.33,20.72,0.382,0.428,2.82,32.65,61.3,Warning,1
23.95,16.34,71.69,7.7,345.24,0.147,7.61,16.73,0.305,0.853,3.71,14.16,80.65,Normal,0
30.86,35.37,64.54,8.42,917.0,0.383,-4.52,43.55,1.02,0.617,9.86,71.09,56.51,Warning,1
23.06,34.56,55.95,6.02,977.51,0.868,-11.5,40.65,1.38,0.132,10.51,55.76,34.49,Danger,1
39.95,24.51,59.82,8.55,311.6,0.451,15.44,26.57,1.154,0.549,3.35,91.42,26.43,Danger,1
20.87,27.67,50.11,8.03,139.1,0.233,-6.8,29.78,0.63,0.767,1.5,18.06,70.86,Warning,1
21.44,27.66,76.34,8.3,97.06,0.852,-6.22,32.97,0.896,0.148,1.04,51.75,44.71,Danger,1
25.46,37.91,77.34,7.8,571.33,0.735,-12.45,50.68,0.403,0.265,6.14,49.8,51.29,Warning,1
30.73,39.26,78.38,8.57,976.48,0.193,-8.53,53.53,1.167,0.807,10.5,72.28,60.9,Danger,1
30.9,28.48,67.1,8.39,953.14,0.417,2.42,33.06,0.994,0.583,10.25,72.75,54.38,Warning,1
22.33,31.04,31.42,7.51,557.88,0.735,-8.71,31.69,0.111,0.265,6.0,41.42,55.71,Warning,1
25.88,15.17,37.51,8.92,943.55,0.325,10.71,13.3,1.519,0.675,10.15,66.93,49.22,Danger,1
27.6,35.7,53.19,6.2,412.06,0.261,-8.1,41.92,1.198,0.739,4.43,30.09,63.03,Danger,1
21.59,34.77,64.23,6.81,566.6,0.493,-13.18,42.49,0.587,0.507,6.09,31.89,58.66,Warning,1
39.03,18.92,87.45,8.11,708.48,0.374,20.11,21.21,0.714,0.626,7.62,91.89,34.08,Danger,1
18.12,44.47,69.42,7.21,556.28,0.041,-26.34,61.73,0.193,0.959,5.98,13.58,72.88,Normal,0
31.71,30.43,81.16,7.98,615.27,0.815,1.29,38.03,0.576,0.185,6.62,78.97,48.64,Danger,1
33.2,36.47,47.89,6.59,218.77,0.198,-3.27,42.06,0.813,0.802,2.35,40.23,68.94,Danger,1
20.98,34.78,36.83,6.08,326.63,0.192,-13.79,37.5,1.319,0.808,3.51,14.7,62.76,Danger,1
24.67,21.66,42.79,7.12,619.78,0.782,3.0,21.31,0.278,0.218,6.66,46.6,60.86,Warning,1
31.77,29.46,85.02,7.71,296.56,0.704,2.31,36.97,0.307,0.296,3.19,65.35,62.53,Warning,1
28.24,44.62,87.14,6.59,804.85,0.601,-16.38,67.51,0.809,0.399,8.65,62.64,56.21,Danger,1
29.31,40.6,69.71,7.61,49.98,0.448,-11.3,54.05,0.213,0.552,0.54,34.93,77.38,Warning,0
33.66,16.53,87.46,8.48,559.26,0.022,17.13,17.94,1.08,0.978,6.01,67.63,62.55,Warning,1
19.2,24.61,70.88,8.74,366.02,0.86,-5.41,27.83,1.339,0.14,3.94,66.18,21.64,Danger,1
18.46,22.18,76.14,8.27,401.44,0.657,-3.72,24.88,0.871,0.343,4.32,49.74,41.94,Warning,1
34.28,36.56,35.58,6.47,135.78,0.932,-2.28,39.73,0.925,0.068,1.46,71.04,38.15,Danger,1
35.54,18.5,67.33,6.56,376.86,0.267,17.04,19.22,0.838,0.733,4.05,53.42,53.62,Danger,1
21.18,34.39,93.95,8.06,81.06,0.908,-13.21,47.17,0.661,0.092,0.87,56.56,38.39,Danger,1
28.04,34.79,87.14,7.43,543.54,0.452,-6.75,46.71,0.031,0.548,5.84,50.47,73.55,Warning,0
35.32,18.79,55.65,7.16,286.48,0.403,16.52,18.77,0.24,0.597,3.08,56.21,70.67,Danger,1
24.85,20.18,86.51,8.91,469.13,0.327,4.68,22.91,1.512,0.673,5.04,61.79,46.12,Danger,1
18.81,26.79,90.47,8.19,357.3,0.968,-7.98,33.26,0.792,0.032,3.84,66.44,28.71,Danger,1
24.09,27.79,43.75,8.66,369.48,0.658,-3.7,29.16,1.257,0.342,3.97,55.96,43.03,Danger,1
37.84,34.27,61.74,6.4,922.66,0.547,3.57,41.23,1.004,0.453,9.92,83.23,35.39,Danger,1
37.31,16.63,50.41,7.61,347.63,0.477,20.68,15.78,0.21,0.523,3.74,66.49,52.87,Danger,1
20.86,16.11,40.25,8.86,588.64,0.489,4.76,14.53,1.459,0.511,6.33,58.69,37.11,Danger,1
33.59,19.24,47.95,7.97,490.08,0.77,14.35,18.76,0.568,0.23,5.27,74.29,49.38,Warning,1
36.11,20.53,35.95,6.51,801.55,0.914,15.59,19.38,0.892,0.086,8.62,90.13,25.62,Danger,1
24.56,40.21,64.86,8.47,560.98,0.146,-15.65,52.11,1.068,0.854,6.03,36.29,62.42,Warning,1
39.06,27.77,52.78,7.07,387.65,0.945,11.28,30.25,0.331,0.055,4.17,91.31,24.8,Danger,1
20.62,38.69,65.71,6.39,35.25,0.224,-18.07,49.54,1.014,0.776,0.38,9.73,61.88,Danger,1
18.31,21.48,77.99,8.57,918.9,0.39,-3.17,24.06,1.166,0.61,9.88,58.51,37.11,Danger,1
40.0,38.08,64.93,6.76,328.7,0.515,1.92,48.28,0.636,0.485,3.53,75.67,33.52,Danger,1
18.3,43.78,67.41,7.77,216.33,0.765,-25.48,59.71,0.367,0.235,2.33,35.25,48.28,Warning,1
20.09,32.85,72.78,8.51,210.83,0.878,-12.76,40.79,1.107,0.122,2.27,58.7,35.03,Danger,1
20.12,18.17,42.86,6.85,507.82,0.749,1.95,17.11,0.552,0.251,5.46,40.87,46.73,Warning,1
39.84,19.85,68.96,8.79,851.66,0.648,19.99,21.1,1.387,0.352,9.16,100.0,13.35,Danger,1
20.95,15.29,58.22,6.27,365.98,0.224,5.66,14.62,1.131,0.776,3.94,16.82,55.73,Danger,1
37.36,39.57,76.41,6.46,49.48,0.654,-2.21,53.67,0.938,0.346,0.53,70.51,34.51,Danger,1
26.13,29.18,61.79,6.72,321.39,0.418,-3.05,33.41,0.68,0.582,3.46,30.03,69.51,Danger,1
39.03,31.15,77.53,8.42,116.12,0.653,7.87,38.71,1.021,0.347,1.25,92.99,23.19,Danger,1
30.59,16.15,88.9,8.86,3.56,0.213,14.44,17.53,1.458,0.787,0.04,64.28,60.52,Danger,1
35.19,32.94,41.53,8.44,361.6,0.461,2.25,35.79,1.042,0.539,3.89,75.82,45.23,Danger,1
29.47,29.4,47.85,7.27,929.23,0.503,0.07,31.86,0.126,0.497,9.99,56.51,71.93,Warning,1
34.91,23.81,81.38,6.79,20.0,0.161,11.11,27.71,0.607,0.839,0.22,45.29,69.24,Danger,1
38.84,45.0,79.54,6.32,919.62,0.744,-6.16,66.04,1.076,0.256,9.89,98.81,26.17,Danger,1
29.05,34.85,31.56,7.5,749.24,0.188,-5.8,36.64,0.105,0.812,8.06,38.79,82.21,Normal,0
29.72,37.07,92.69,8.54,635.81,0.584,-7.35,52.26,1.145,0.416,6.84,84.13,52.66,Danger,1
29.99,16.78,75.39,8.15,524.27,0.87,13.21,17.52,0.749,0.13,5.64,75.49,46.46,Danger,1
25.98,15.59,33.85,7.06,472.73,0.167,10.39,13.56,0.345,0.833,5.08,22.78,78.13,Normal,0
23.06,38.42,80.13,7.15,176.33,0.111,-15.35,52.26,0.251,0.889,1.9,13.3,84.24,Normal,0
26.61,16.37,51.69,8.88,519.18,0.823,10.24,15.53,1.485,0.177,5.58,79.01,34.64,Danger,1
23.9,43.4,54.93,7.95,998.58,0.551,-19.5,55.32,0.545,0.449,10.74,47.14,55.98,Warning,1
29.7,16.64,37.3,6.02,904.55,0.671,13.06,14.97,1.378,0.329,9.73,63.41,47.89,Danger,1
22.87,35.49,89.77,6.9,328.95,0.854,-12.63,48.54,0.503,0.146,3.54,51.13,45.72,Danger,1
38.11,23.79,37.82,7.32,302.57,0.884,14.31,23.46,0.08,0.116,3.25,84.19,34.74,Danger,1
31.95,42.19,93.48,7.95,971.77,0.076,-10.24,63.62,0.55,0.924,10.45,63.26,72.62,Warning,0
18.19,44.44,88.68,6.08,18.55,0.367,-26.24,67.55,1.316,0.633,0.2,24.42,44.8,Danger,1
21.53,38.72,66.04,7.13,149.07,0.998,-17.19,49.67,0.268,0.002,1.6,43.11,40.05,Danger,1
27.67,26.13,88.87,8.46,829.84,0.616,1.53,32.04,1.064,0.384,8.92,79.52,49.71,Warning,1
24.58,36.11,56.29,7.8,1021.11,0.985,-11.53,43.17,0.4,0.015,10.98,63.09,44.33,Danger,1
30.62,41.92,94.07,8.34,66.68,0.323,-11.29,63.16,0.936,0.677,0.72,59.64,64.96,Warning,1
34.9,37.27,73.42,7.25,412.52,0.809,-2.36,48.63,0.154,0.191,4.44,75.65,47.42,Danger,1
33.07,36.79,84.9,6.96,758.95,0.106,-3.72,50.09,0.44,0.894,8.16,55.23,76.29,Warning,1
27.18,16.66,91.6,8.71,50.06,0.838,10.52,18.37,1.306,0.162,0.54,77.6,37.78,Danger,1
33.44,41.61,67.5,6.35,2.64,0.497,-8.16,55.42,1.051,0.503,0.03,48.26,52.03,Danger,1
30.6,26.19,32.01,8.74,334.68,0.705,4.41,25.77,1.345,0.295,3.6,78.81,40.99,Danger,1
23.59,16.91,55.03,6.95,716.36,0.82,6.67,16.4,0.449,0.18,7.7,48.2,45.43,Danger,1
29.62,16.22,43.93,8.29,811.65,0.776,13.4,14.89,0.885,0.224,8.73,77.51,49.06,Warning,1
30.12,27.68,94.45,7.96,956.71,0.145,2.44,35.21,0.562,0.855,10.29,61.04,67.88,Warning,0
